ayo1,AZZ,antares energy limited
ayr1,AYR,alloy resources limited
ayt1,AYT,adelaide managed funds asset backed yield tru
ayx1,AYX,austofix group limited
aza1,AZA,anzon australia limited
azc1,AZC,azcorp limited
azd1,AZD,amazing loans limited
azl1,AZL,anzoil nl
azl1,GBU,golden bounty resources n.l.
azl1,NEO,nuenco nl
azl1,QPN,quest petroleum nl
azm1,AZM,azumah resources limited
azo1,AZO,azon limited
azt1,AZT,aztec mining company limited
azx1,AZX,auzex resources limited
baa1,BAA,baa plc
bab1,BAB,ballarat brewing company limited (the)
bae1,BAE,barron entertainment limited
bae1,BAF,barron films limited
bah1,BAH,bains harding limited
bah1,KAE,kaefer technologies limited
bah1,KTL,ktl technologies limited
bar2,BAR,barra resources limited
bas3,BAS,bass strait oil company limited
bat1,BAT,benchmark australian all ordinaries index tru
bau1,BAU,bauxite resources limited
bax1,BAX,baxter group limited
bay1,BAY,baycorp holdings limited
bbb1,BBB,b digital limited
bbg1,BBG,billabong international limited
bbp1,BBP,babcock & brown power
bbs1,BBS,bundaberg sugar company limited
bbt1,BBT,babet corporation limited
bbw1,BBW,babcock & brown wind partners group
bbx1,BBX,bbx holdings limited
bcc1,BCC,"birch, carroll & coyle limited"
bcc2,BCC,buccaneer energy limited
bcd1,BCD,beaconsfield gold n.l.
bcd1,BCD,beaconsfield gold nl
bcd1,BCG,beaconsfield gold mines ltd
bcf1,BCF,blue chip financial solutions limited
bcf1,NOC,northern crest investments limited
bch1,ASA,auschina corp limited
bch1,BCH,barton capital holdings limited
bch1,RMC,rimcapital limited
bci1,BCI,bc iron limited
bcm1,BCM,babcock & brown capital limited
bcn1,BCN,beacon minerals limited
bcr1,BCR,blue line cruises limited
bcs2,BCS,brisconnections unit trusts
bda1,BDA,bourse data limited
bda1,WEL,wealthpoint limited
bde1,BDE,baden pacific limited
bdf2,BDF,bridgedfs limited
bdf2,IRE,iress market technology limited
bdg1,BDG,bendigo mining limited
bdg1,BDG,bendigo mining nl
